login,n,name,blog
fabian-s,1,Fabian Scheipl,http://scheipl.userweb.mwn.de/
flammy0530,6,NA,NA
fmichonneau,1,François Michonneau,https://francoismichonneau.net/
fpepin,2,Francois Pepin,NA
frankfarach,2,Frank Farach,NA
freezby,1,NA,NA
FvD,1,Frans van Dunné,www.fransvandunne.com
fyears,2,NA,www.fyears.org/
gagnagaman,5,NA,NA
garrettgman,5,Garrett Grolemund,NA
gavinsimpson,2,Gavin Simpson,https://www.fromthebottomoftheheap.net
gezakiss7,2,NA,NA
gggtest,1,NA,NA
gokceneraslan,5,Gökçen Eraslan,yeredusuncedernegi.com
gr650,3,Georg Russ,NA
grasshoppermouse,1,NA,NA
gregorp,2,Gregor Thomas,NA
gsee,1,Garrett See,NA
gsk3,2,Ari Friedman,NA
gthb,4,Gunnlaugur Thor Briem,NA
hadley,2024,Hadley Wickham,http://hadley.nz
hamedbh,1,Hamed,NA
harleyday,1,Harley Day,NA
hassaad85,1,NA,NA
helmingstay,1,NA,https://www.x14n.org
henningsway,8,Henning,https://henningsway.rbind.io
HenrikBengtsson,3,Henrik Bengtsson,NA
hoscb,2,Ching Boon,www.chingboon.com
iaindillingham,3,Iain Dillingham,http://dillingham.me.uk/
IanKopacka,1,NA,NA
ijlyttle,4,Ian Lyttle,NA
ilanman,2,Ilan Man,NA
imanuelcostigan,4,Imanuel Costigan,https://twitter.com/imanuelcostigan
initdch,1,Thomas Bürli,NA
Ironholds,19,Os Keyes,https://ironholds.org
irudnyts,1,NA,NA
isomorphisms,3,i,http://isomorphism.es
isteves,1,Irene Steves,irene.rbind.io
jan-glx,2,Jan Gleixner,http://2014.igem.org/Team:Heidelberg/Team/Members#Jan
jasonasher,1,Jason Asher,NA
jasondavies,1,Jason Davies,https://www.jasondavies.com/
jastingo,1,Chris,NA
jcborras,7,jcborras,http://www.jcborras.net
jdblischak,5,John Blischak,https://jdblischak.com/
jeharmse,2,NA,NA
jemus42,1,Lukas Burk,https://blog.jemu.name
jennybc,8,Jennifer (Jenny) Bryan,https://jennybryan.org
jentjr,2,Justin Jent,http://jentjr.com
JestonBlu,2,Jeston,NA
jimhester,2,Jim Hester,http://www.jimhester.com
JimInNashville,1,NA,NA
jimmyliu2017,4,NA,NA
jimvine,3,Jim Vine,NA
jinlong25,2,Jinlong Yang,NA
jjallaire,4,J.J. Allaire,https://www.rstudio.com
JMHay,1,NA,NA
jochenvdv,1,Jochen Van de Velde,NA
johannh,2,Johann Hibschman,NA
johnbaums,15,John Baumgartner,http://johnbaumgartner.wordpress.com
johnjosephhorton,2,John Horton,http://www.john-joseph-horton.com
johnthomas12,1,NA,NA
jonmcalder,1,Jon Calder,http://joncalder.co.za
jonthegeek,8,Jon Harmon,http://jonthegeek.com
jooolia,1,Julia Gustavsen,www.juliagustavsen.com
JorneBiccler,1,JorneBiccler,NA
jrnold,1,Jeffrey Arnold,http://jrnold.me
jtr13,4,Joyce Robbins,www.joyce-robbins.com
juancentro,16,Juan Manuel Truppia,http://www.quantsargentina.com
justmarkham,1,Kevin Markham,http://www.dataschool.io
jverzani,2,john verzani,NA
kaneplusplus,6,Michael Kane,NA
kasterma,1,Bart Kastermans,http://kasterma.net
kdauria,7,Kevin D'Auria,NA
kdpsingh,1,Karandeep Singh,http://umich.edu/~kdpsingh
kenahoo,3,Ken Williams,http://www.linkedin.com/in/kenahoo
kendonB,1,Kendon Bell,http://www.kendonbell.com
kent37,2,Kent Johnson,http://kentsjohnson.com
kevinushey,5,Kevin Ushey,NA
kfeng123,1,电线杆,NA
kforner,2,Karl Forner,www.quartzbio.com
kirillseva,2,Kirill Sevastyanenko,NA
knausb,1,Brian Knaus,"brianknaus.com, http://knausb.github.io/"
krlmlr,2,Kirill Müller,NA
ksens,1,Kriti Sen Sharma,http://linkedin.com/in/kritisen
kwstat,2,Kevin Wright,NA
Lawrence-Liu,1,suo.lawrence.liu@gmail.com,http://lawrence-liu.github.io
ldfmrails,1,NA,NA
leighseverson,1,Rachel Severson,NA
lgatto,4,Laurent Gatto,http://lgatto.github.io/
liangcj,5,C. Jason Liang,NA
lianos,1,Steve Lianoglou,NA
lindbrook,130,NA,NA
Lingbing,21,Lingbing Feng,NA
LiNk-NY,1,Marcel Ramos,NA
linzhp,1,Zhongpeng Lin,NA
lionel-,3,Lionel Henry,NA
lrcg,1,myq,NA
lwjohnst86,1,Luke W Johnston,cv.lukewjohnston.com
lynaghk,1,Kevin Lynagh,https://kevinlynagh.com
malcolmbarrett,1,Malcolm Barrett,malco.io
mannyishere,1,NA,NA
mattbaggott,1,Matt,NA
mattgrogan,1,Matthew Grogan,NA
matthewhillary,1,NA,NA
matthieugomez,1,Matthieu Gomez,http://www.matthieugomez.com/
mattmalin,2,Matt Malin,http://www.mattmalin.co.uk
maurolepore,7,Mauro Lepore,https://fgeo.netlify.com/
MaxGhenis,1,Max Ghenis,NA
maxheld83,2,Maximilian Held,http://www.maxheld.de/
mbojan,1,Michal Bojanowski,http://www.bojanorama.pl
mbrmbr,3,Mark Rosenstein,NA
mdsumner,1,Michael Sumner,http://mdsumner.github.io/
meijun,1,Jun Mei,NA
merkliopas,1,merkliopas,NA
mfrasco,1,mfrasco,NA
michaelbach,8,Michael Bach,michaelbach.de
MichaelMBishop,1,Michael Bishop,http://michaelmbishop.github.io/
michaelmikebuckley,5,Michael Buckley,NA
michaelquinn32,1,Michael Quinn,http://michaelquinn32.github.io/
miguelmorin,1,NA,NA
mikekaminsky,1,Michael,NA
mine-cetinkaya-rundel,1,Mine Cetinkaya-Rundel,https://stat.duke.edu/~mc301
mjsduncan,6,NA,NA
MoBeng,1,Mamoun Benghezal,NA
mpettis,1,Matt Pettis,NA
mtmorgan,2,Martin Morgan,http://bioconductor.org
Mullefa,7,Guy Dawson,NA
nachocab,1,Nacho Caballero,itsnachotime.com
natalya-patrikeeva,1,Natalya Rapstine,http://www.natalyarapstine.com/
ncarchedi,1,Nick Carchedi,http://nickcarchedi.com
ngreifer,1,Noah Greifer,NA
nickv9,1,Nicholas Vasile,www.linkedin.com/in/nickva
nignatiadis,1,Nikos Ignatiadis,NA
norival,1,Xavier Laviron,https://www.xavier.science
nstjhp,1,Nick Pullen,NA
ogennadi,1,Oge Nnadi,specterdefied.blogspot.com
oliverpaisley,1,Oliver Paisley,NA
omsai,1,Pariksheet Nanda,NA
osorensen,24,Øystein Sørensen,NA
otepoti,1,Paul,NA
othomantegazza,1,Otho Mantegazza,NA
paleolimbot,1,Dewey Dunnington,http://www.fishandwhistle.net
parkerabercrombie,2,Parker Abercrombie,NA
patperu,1,Patrick Hausmann,http://www.covimo.de
patr1ckm,1,Patrick Miller,https://www.civisanalytics.com/
Patrick01,1,Patrick Werkmeister,NA
paulponcet,1,NA,NA
pdb61,1,NA,NA
pelotom,1,Tom Crockett,NA
pengyu,1,NA,NA
perryjer1,3,Jeremiah,NA
PeteHaitch,1,Peter Hickey,www.peterhickey.org
philchalmers,1,Phil Chalmers,https://coe.uga.edu/directory/profiles/rphilip.chalmers
picarus,1,Jose Antonio Magaña Mesa,http://ideas4pm.wordpress.com
picasa,1,Pierre Casadebaig,orcid.org/0000-0001-7225-936X
piccolbo,1,Antonio Piccolboni,http://piccolboni.info
pierreroudier,1,Pierre Roudier,NA
pooryorick,1,Poor Yorick,NA
prosoitos,4,Marie-Helene Burle,http://www.sfu.ca/biology/people/profiles/msb2.html
pschulam,1,Peter Schulam,NA
quantbo,1,John,https://quantbo.github.io/
qykong,1,Quyu Kong,NA
ramiromagno,1,Ramiro Magno,NA
ramnathv,2,Ramnath Vaidyanathan,http://slidify.org
renkun-ken,9,Kun Ren,https://renkun.me
richardreeve,1,Richard Reeve,http://www.gla.ac.uk/boydorr/people/byname/richardreeve/
richierocks,3,Richard Cotton,4dpiecharts.com
rmflight,2,Robert M Flight,https://rmflight.github.io
rmsharp,1,R. Mark Sharp,NA
robertzk,2,Robert Krzyzanowski,http://robertzk.com
robiRagan,1,NA,NA
romainfrancois,2,Romain François,https://purrple.cat
rossholmberg,1,Ross Holmberg,NA
rpietro,1,Ricardo Pietrobon,NA
rrunner,9,NA,NA
rtwalker,2,Ryan Walker,NA
rubenfcasal,1,NA,NA
rweyant,1,Rob Weyant,NA
rzarev,1,Rumen Zarev,NA
sailingwave,2,Nan Wang,NA
sbgraves237,3,NA,NA
scottkosty,1,Scott Kostyshak,NA
scttl,1,Scott Leishman,http://sct.tl
seaaan,2,Sean Hughes,NA
seananderson,1,Sean Anderson,http://seananderson.ca/
seancarmody,1,Sean Carmody,http://www.stubbornmule.net
sebastian-c,3,Sebastian,NA
sedaghatfar,5,Matthew Sedaghatfar,NA
see24,1,NA,NA
setempler,2,Sven E. Templer,www.templer.se
sflippl,1,NA,NA
shabbybanks,1,NA,NA
shabbychef,2,Steven Pav,NA
shannonrush,1,Shannon Rush,http://shannonline.com
sibusiso16,5,S'busiso Mkhondwane,NA
Sigfried,3,Sigfried Gold,http://sigfried.org
simonohanlon101,2,Simon O'Hanlon,NA
sjp,1,Simon Potter,https://sjp.co.nz/
SplashDance,1,Steve,NA
sritchie73,1,Scott Ritchie,NA
statist7,5,Tim Cole,https://iris.ucl.ac.uk/iris/browse/profile?upi=TCOLE39
ste-fan,1,NA,NA
stephens999,3,NA,NA
stevencarlislewalker,1,Steve Walker,http://stevencarlislewalker.wordpress.com/
stewid,1,Stefan Widgren,NA
strongh,1,Homer Strong,NA
surmann,3,Dirk,NA
svigneau,2,Sebastien Vigneau,NA
Swarchal,1,Scott Warchal,swarchal.github.io
swnydick,7,Steven Nydick,NA
taekyunk,6,Taekyun Kim,NA
talgalili,6,Tal Galili,https://www.r-statistics.com
Tazinho,3,NA,malte-grosser.com
tbuckl,1,Tom B,http://www.tbuckl.com
tdenes,1,NA,NA
thomasherbig,1,NA,NA
thomaskern,1,Thomas,NA
thomasp85,1,Thomas Lin Pedersen,www.data-imaginist.com
thomaszumbrunn,4,Thomas Zumbrunn,http://thomaszumbrunn.ch/blog/
timwaterhouse,1,Tim Waterhouse,NA
tjmahr,5,TJ Mahr,tjmahr.com
tonytonov,14,Anton Antonov,NA
Torvaney,1,Ben Torvaney,NA
trestletech,1,Jeff Allen,http://trestletechnology.net
tteo,2,Terence Teo,tteo.github.io
ttriche,1,"Tim Triche, Jr.",NA
tyhenkaline,1,NA,NA
tylerritchie,1,Tyler Ritchie,tylerritchie.com
varun729,2,Varun Agrawal,https://compas.cs.stonybrook.edu/~vagrawal/
vijaybarve,1,Vijay Barve,http://vijaybarve.net/
vkryukov,1,Victor,NA
vzemlys,1,Vaidotas Zemlys-Balevičius,NA
wch,3,Winston Chang,NA
wchi144,1,Linda Chin,NA
Welliton309,1,Welliton Souza,https://welliton309.github.io/
whitwort,1,Gregg Whitworth,http://www.wlu.edu/x23921.xml?InsertFile=x55999
wibeasley,2,Will Beasley,http://scholar.google.com/citations?user=ffsJTC0AAAAJ&hl=en
WilCrofter,1,William R Bauer,NA
WilDoane,4,William Doane,http://DrDoane.com
wilkinson,1,Sean Wilkinson,http://seanwilkinson.info
winterschlaefer,3,Christof Winter,NA
wmc3,1,Bill Carver,NA
wolfganghuber,1,Wolfgang Huber,www.huber.embl.de
xsankar,2,Krishna Sankar,https://www.linkedin.com/in/ksankar
yihui,1,Yihui Xie,https://yihui.name
yiluheihei,4,yang,https://www.choyang.me
yoni,1,Yoni Ben-Meshulam,http://heyitsyoni.com
yuchouchen,1,NA,NA
zachcp,1,NA,NA
zackham,1,NA,NA
zerokarmaleft,4,Edward Cho,http://edward-cho.com
zxzb,1,Albert Zhao,NA
